pmcid,pmid,in_pmc_oa_dataset,is_pmc_openaccess,license_code,is_manuscript,is_historical_ocr,is_retracted,version,pmid_from_pmc,doi_from_pmc,title_from_pmc,has_xml,has_pdf,has_text,media_count,xml_url,pdf_url,text_url,checked_at_utc
PMC9277667,30584145,yes,yes,CC BY-NC,no,no,no,1,30584145,10.3233/JAD-180825,Circulating Molecular Chaperones in Subjects with Amnestic Mild Cognitive Impairment and Alzheimer’s Disease: Data from the Zabùt Aging Project,yes,yes,yes,1,s3://pmc-oa-opendata/PMC9277667.1/PMC9277667.1.xml?md5=072929c9c0d1ec3a302c1cc9057dd782,s3://pmc-oa-opendata/PMC9277667.1/PMC9277667.1.pdf?md5=714de23a3e12080e12a5479fcc5b42ff,s3://pmc-oa-opendata/PMC9277667.1/PMC9277667.1.txt?md5=2ab733a41a3e25f27d160e72578921dd,2026-08-31T08:46:33+00:00
PMC8357005,30697878,no,,,,,,,,,,,,,,,,,2026-08-31T08:46:34+00:00
PMC8648658,31820410,yes,yes,CC BY,no,no,no,1,31820410,10.1007/s12350-019-01977-5,Uniformity of cardiac 123I-MIBG uptake on SPECT images in older adults with normal cognition and patients with dementia,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8648658.1/PMC8648658.1.xml?md5=965371a6e3fdeabd77fdeafa4f40d6db,s3://pmc-oa-opendata/PMC8648658.1/PMC8648658.1.pdf?md5=e47809d3ee2aeca95aaacdc55f9ba737,s3://pmc-oa-opendata/PMC8648658.1/PMC8648658.1.txt?md5=1dc0da5629b924c7be422d2ad82c4847,2026-08-31T08:46:35+00:00
PMC12108945,32116033,yes,no,TDM,yes,no,no,1,32116033,10.1080/23279095.2020.1725888,The effect of acculturation on cognitive performance among older Hispanics in the United States,yes,no,yes,0,s3://pmc-oa-opendata/PMC12108945.1/PMC12108945.1.xml?md5=3ca27fbdefa4a88ccb70af231b6d9f60,,s3://pmc-oa-opendata/PMC12108945.1/PMC12108945.1.txt?md5=23a2805e288a9acd9a6d02e4a917d665,2026-08-31T08:46:37+00:00
PMC8758492,32161362,yes,yes,CC BY,no,no,no,1,32161362,10.1038/s41380-020-0688-6,APOEε4 potentiates the relationship between amyloid-β and tau pathologies,yes,yes,yes,10,s3://pmc-oa-opendata/PMC8758492.1/PMC8758492.1.xml?md5=dec3bd92ce62bb65a4e00ab4b4992630,s3://pmc-oa-opendata/PMC8758492.1/PMC8758492.1.pdf?md5=955634ae364849c479f3dabfbdc1795c,s3://pmc-oa-opendata/PMC8758492.1/PMC8758492.1.txt?md5=22a0c4a597fe00e3b1e72f9b55ffdd54,2026-08-31T08:46:39+00:00
PMC8506354,32317043,yes,yes,CC BY,no,no,no,1,32317043,10.1017/S0033291720000938,Hot and cold cognitive disturbances in antidepressant-free patients with major depressive disorder: a NeuroPharm study,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8506354.1/PMC8506354.1.xml?md5=eea8dcb8dbeff21947227a97a3824b74,s3://pmc-oa-opendata/PMC8506354.1/PMC8506354.1.pdf?md5=ff0aaf48ee07fec51673a8224e970acf,s3://pmc-oa-opendata/PMC8506354.1/PMC8506354.1.txt?md5=873f126ab4b5aa05663a90619834110f,2026-08-31T08:46:41+00:00
PMC8106977,32367736,yes,no,TDM,yes,no,no,1,32367736,10.1080/13607863.2020.1758915,Psychometric Evaluation of the Behavioral Activation for Depression Scale-Short Form in Alzheimer’s Caregivers,yes,no,yes,0,s3://pmc-oa-opendata/PMC8106977.1/PMC8106977.1.xml?md5=7c71e6be62f796d13abfffcd0f783382,,s3://pmc-oa-opendata/PMC8106977.1/PMC8106977.1.txt?md5=94c971e108d4d31ae8e7c48897c0ff43,2026-08-31T08:46:43+00:00
PMC10021027,32397837,yes,no,TDM,yes,no,no,1,32397837,10.1080/23279095.2020.1761368,Cultural factors related to neuropsychological performance and brain atrophy among hispanic older adults with amnestic Mild Cognitive Impairment (aMCI): A pilot study,yes,no,yes,0,s3://pmc-oa-opendata/PMC10021027.1/PMC10021027.1.xml?md5=09d3f9b41696c685e6868297e108eea1,,s3://pmc-oa-opendata/PMC10021027.1/PMC10021027.1.txt?md5=c1e911286e480335bf1a1e311f5823a9,2026-08-31T08:46:44+00:00
PMC8326902,32400259,yes,yes,CC BY-NC,no,no,no,1,32400259,10.1177/0891988720924717,Measuring Awareness in People With Dementia: Results of a Systematic Scoping Review,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8326902.1/PMC8326902.1.xml?md5=6b5d33ef3eaed19c2e4861d3792f43c0,s3://pmc-oa-opendata/PMC8326902.1/PMC8326902.1.pdf?md5=2fa0b115889ab1a065244f3b9ac1b977,s3://pmc-oa-opendata/PMC8326902.1/PMC8326902.1.txt?md5=b4ba6a127820ab05330471801fb5ec4b,2026-08-31T08:46:46+00:00
PMC8758470,32404947,yes,yes,CC BY,no,no,no,1,32404947,10.1038/s41380-020-0764-y,"Prediction of clinical diagnosis of Alzheimer’s disease, vascular, mixed, and all-cause dementia by a polygenic risk score and APOE status in a community-based cohort prospectively followed over 17 years",yes,yes,yes,3,s3://pmc-oa-opendata/PMC8758470.1/PMC8758470.1.xml?md5=2aa1af9228538961c0227cd300a8c5cf,s3://pmc-oa-opendata/PMC8758470.1/PMC8758470.1.pdf?md5=1171169ab70b4540a15ceb1891f1c28b,s3://pmc-oa-opendata/PMC8758470.1/PMC8758470.1.txt?md5=27e3f6b250c46a5f2e4f218ce8fb032d,2026-08-31T08:46:48+00:00
PMC8392777,32406251,yes,yes,CC BY-NC,no,no,no,1,32406251,10.1177/1073191120915273,Questioning the Meaning of a Change on the Alzheimer’s Disease Assessment Scale–Cognitive Subscale (ADAS-Cog): Noncomparable Scores and Item-Specific Effects Over Time,yes,yes,yes,13,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.xml?md5=1752e68944e399567e19a846ed3b1eea,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.pdf?md5=33c9cd769d9da9a47a71105028b9a12f,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.txt?md5=ec80cb8e02125abfbcc922362860b2ec,2026-08-31T08:46:50+00:00
